cpf,account_type,account_number,balance
11122233344,corrente,1001-1,5420.50
11122233344,poupanca,1001-2,12500.00
22233344455,corrente,2002-1,3200.75
33344455566,corrente,3003-1,8760.00
33344455566,poupanca,3003-2,5000.00
44455566677,corrente,4004-1,1500.25
55566677788,corrente,5005-1,9800.00
66677788899,corrente,6006-1,2300.50
66677788899,poupanca,6006-2,7500.00
77788899900,corrente,7007-1,4500.00
88899900011,corrente,8008-1,6100.30
99900011122,corrente,9009-1,1000.00
00011122233,corrente,0011-1,7200.00

