cpf,account_number,date,description,value,type
11122233344,1001-1,2025-10-01,Salário,5000.00,credito
11122233344,1001-1,2025-10-05,Aluguel,-1500.00,debito
11122233344,1001-1,2025-10-10,Supermercado,-300.00,debito
11122233344,1001-1,2025-10-12,Internet,100.00,credito
11122233344,1001-1,2025-10-15,Lazer,-200.00,debito
11122233344,1001-2,2025-09-20,Rendimento,50.00,credito
11122233344,1001-2,2025-10-01,Deposito,500.00,credito
22233344455,2002-1,2025-10-02,Serviço,1000.00,credito
22233344455,2002-1,2025-10-04,Restaurante,-120.00,debito
22233344455,2002-1,2025-10-07,Farmácia,-50.00,debito
22233344455,2002-1,2025-10-11,Transferência Recebida,200.00,credito
22233344455,2002-1,2025-10-14,Conta de Água,-80.00,debito
33344455566,3003-1,2025-10-03,Venda Online,2000.00,credito
33344455566,3003-1,2025-10-06,Combustível,-150.00,debito
33344455566,3003-1,2025-10-09,Mercado,-250.00,debito
33344455566,3003-1,2025-10-13,Academia,-90.00,debito
33344455566,3003-2,2025-10-01,Rendimento,30.00,credito
33344455566,3003-2,2025-10-05,Deposito,100.00,credito
44455566677,4004-1,2025-10-01,Salário,3000.00,credito
44455566677,4004-1,2025-10-05,Aluguel,-1000.00,debito
44455566677,4004-1,2025-10-10,Supermercado,-200.00,debito
44455566677,4004-1,2025-10-12,Conta de Luz,-150.00,debito
44455566677,4004-1,2025-10-15,Lazer,-100.00,debito
55566677788,5005-1,2025-10-02,Freelance,4000.00,credito
55566677788,5005-1,2025-10-05,Viagem,-800.00,debito
55566677788,5005-1,2025-10-08,Compras,-350.00,debito
55566677788,5005-1,2025-10-11,Transferência Enviada,-200.00,debito
55566677788,5005-1,2025-10-14,Serviço de Streaming,-50.00,debito
55566677788,5005-1,2025-10-16,Recebimento,150.00,credito
66677788899,6006-1,2025-10-03,Consultoria,1500.00,credito
66677788899,6006-1,2025-10-06,Conta de Telefone,-120.00,debito
66677788899,6006-1,2025-10-09,Supermercado,-280.00,debito
66677788899,6006-1,2025-10-12,Lazer,-180.00,debito
66677788899,6006-2,2025-10-01,Rendimento,40.00,credito
66677788899,6006-2,2025-10-05,Deposito,200.00,credito
77788899900,7007-1,2025-10-01,Salário,4000.00,credito
77788899900,7007-1,2025-10-05,Aluguel,-1200.00,debito
77788899900,7007-1,2025-10-10,Supermercado,-350.00,debito
77788899900,7007-1,2025-10-12,Internet,-100.00,debito
77788899900,7007-1,2025-10-15,Lazer,-250.00,debito
88899900011,8008-1,2025-10-02,Venda Online,3000.00,credito
88899900011,8008-1,2025-10-05,Combustível,-200.00,debito
88899900011,8008-1,2025-10-08,Mercado,-400.00,debito
88899900011,8008-1,2025-10-11,Academia,-100.00,debito
88899900011,8008-1,2025-10-14,Transferência Recebida,500.00,credito
99900011122,9009-1,2025-10-03,Freelance,1800.00,credito
99900011122,9009-1,2025-10-06,Compras,-250.00,debito
99900011122,9009-1,2025-10-09,Restaurante,-150.00,debito
99900011122,9009-1,2025-10-12,Entretenimento,-80.00,debito
99900011122,9009-1,2025-10-15,Recebimento,120.00,credito
00011122233,0011-1,2025-10-01,Salário,6000.00,credito
00011122233,0011-1,2025-10-05,Aluguel,-1800.00,debito
00011122233,0011-1,2025-10-10,Supermercado,-400.00,debito
00011122233,0011-1,2025-10-12,Conta de Telefone,-130.00,debito
00011122233,0011-1,2025-10-15,Lazer,-300.00,debito
